legajo,codigo
404,1339
444,1197
141,1032
374,1258
465,1303
193,1426
316,1334
122,1231
487,1196
252,1193
178,1042
422,1139
439,1083
153,1373
452,1325
308,1009
348,1059
115,1344
458,1023
156,1351
493,1393
454,1346
398,1464
100,1482
178,1306
160,1293
150,1181
315,1260
120,1470
462,1215
181,1243
385,1309
313,1303
208,1381
464,1378
472,1441
467,1290
269,1045
267,1265
269,1419
195,1185
209,1472
154,1203
325,1063
335,1176
294,1437
234,1360
219,1264
428,1413
302,1291
241,1353
269,1364
406,1337
102,1084
367,1144
291,1236
394,1292
122,1047
128,1360
442,1373
321,1374
342,1263
176,1131
302,1224
402,1403
376,1363
220,1138
336,1118
282,1009
151,1332
455,1280
310,1141
128,1027
132,1100
206,1030
359,1037
379,1048
166,1490
154,1442
292,1479
374,1292
248,1078
146,1020
423,1395
202,1044
371,1286
309,1079
488,1078
124,1465
283,1161
373,1252
110,1129
368,1030
393,1441
205,1232
399,1262
377,1020
146,1422
460,1438
500,1184
208,1157
245,1302
398,1168
286,1494
119,1175
242,1406
347,1425
291,1191
220,1032
422,1034
263,1046
351,1129
378,1257
377,1434
435,1031
289,1222
368,1106
100,1253
224,1041
279,1214
184,1205
203,1373
128,1007
136,1488
458,1128
280,1140
353,1497
415,1359
294,1216
406,1291
163,1302
196,1030
429,1366
263,1381
192,1016
469,1131
467,1397
306,1438
434,1373
211,1027
159,1396
226,1068
248,1014
137,1090
256,1430
336,1175
172,1168
441,1217
342,1379
273,1123
141,1430
314,1459
464,1327
447,1006
250,1106
169,1120
405,1105
117,1252
405,1439
303,1368
470,1296
210,1419
189,1355
394,1368
193,1434
452,1216
290,1136
353,1099
128,1248
272,1067
470,1079
369,1390
316,1202
267,1495
218,1226
333,1071
148,1259
261,1269
257,1444
446,1443
341,1311
102,1337
123,1492
482,1287
260,1317
288,1015
183,1401
244,1346
327,1056
317,1006
467,1344
122,1432
368,1017
443,1483
314,1102
476,1142
262,1439
474,1009
113,1002
360,1019
137,1213
488,1259
141,1371
343,1159
112,1330
339,1314
277,1448
340,1330
204,1239
135,1300
201,1334
411,1491
288,1052
187,1343
288,1498
467,1298
444,1400
231,1189
217,1169
269,1458
419,1174
217,1440
464,1426
442,1365
282,1302
364,1103
415,1323
283,1096
468,1144
447,1183
132,1195
311,1210
101,1230
137,1067
451,1485
403,1066
436,1324
102,1429
172,1435
412,1096
203,1102
428,1142
212,1037
366,1061
480,1090
101,1295
389,1020
164,1212
498,1253
353,1208
