codigo,nombre
1000,Materia 281
1001,Materia 764
1002,Materia 458
1003,Materia 906
1004,Materia 130
1005,Materia 690
1006,Materia 728
1007,Materia 102
1008,Materia 544
1009,Materia 256
1010,Materia 230
1011,Materia 885
1012,Materia 286
1013,Materia 558
1014,Materia 147
1015,Materia 722
1016,Materia 085
1017,Materia 114
1018,Materia 870
1019,Materia 133
1020,Materia 085
1021,Materia 957
1022,Materia 885
1023,Materia 245
1024,Materia 120
1025,Materia 831
1026,Materia 222
1027,Materia 197
1028,Materia 466
1029,Materia 852
1030,Materia 498
1031,Materia 655
1032,Materia 141
1033,Materia 344
1034,Materia 281
1035,Materia 722
1036,Materia 127
1037,Materia 548
1038,Materia 688
1039,Materia 226
1040,Materia 658
1041,Materia 352
1042,Materia 975
1043,Materia 010
1044,Materia 516
1045,Materia 844
1046,Materia 139
1047,Materia 323
1048,Materia 525
1049,Materia 066
1050,Materia 874
1051,Materia 867
1052,Materia 786
1053,Materia 475
1054,Materia 811
1055,Materia 346
1056,Materia 564
1057,Materia 281
1058,Materia 067
1059,Materia 118
1060,Materia 408
1061,Materia 437
1062,Materia 625
1063,Materia 048
1064,Materia 857
1065,Materia 782
1066,Materia 613
1067,Materia 091
1068,Materia 213
1069,Materia 713
1070,Materia 557
1071,Materia 856
1072,Materia 822
1073,Materia 635
1074,Materia 863
1075,Materia 573
1076,Materia 666
1077,Materia 977
1078,Materia 572
1079,Materia 013
1080,Materia 223
1081,Materia 262
1082,Materia 387
1083,Materia 231
1084,Materia 914
1085,Materia 944
1086,Materia 199
1087,Materia 770
1088,Materia 061
1089,Materia 516
1090,Materia 554
1091,Materia 853
1092,Materia 583
1093,Materia 409
1094,Materia 141
1095,Materia 433
1096,Materia 640
1097,Materia 634
1098,Materia 594
1099,Materia 970
1100,Materia 829
1101,Materia 652
1102,Materia 728
1103,Materia 382
1104,Materia 035
1105,Materia 231
1106,Materia 346
1107,Materia 397
1108,Materia 825
1109,Materia 812
1110,Materia 595
1111,Materia 511
1112,Materia 221
1113,Materia 044
1114,Materia 961
1115,Materia 494
1116,Materia 859
1117,Materia 865
1118,Materia 494
1119,Materia 981
1120,Materia 580
1121,Materia 093
1122,Materia 305
1123,Materia 014
1124,Materia 162
1125,Materia 734
1126,Materia 453
1127,Materia 444
1128,Materia 741
1129,Materia 835
1130,Materia 758
1131,Materia 664
1132,Materia 165
1133,Materia 520
1134,Materia 118
1135,Materia 028
1136,Materia 260
1137,Materia 642
1138,Materia 392
1139,Materia 736
1140,Materia 496
1141,Materia 115
1142,Materia 889
1143,Materia 112
1144,Materia 257
1145,Materia 832
1146,Materia 820
1147,Materia 718
1148,Materia 584
1149,Materia 341
1150,Materia 877
1151,Materia 287
1152,Materia 675
1153,Materia 667
1154,Materia 891
1155,Materia 752
1156,Materia 589
1157,Materia 178
