startStation;startDate;endStation;endDate;isMember
Parc Jeanne Mance (monument sir George-Etienne Cartier);2021-06-01 20:17:31;Prince-Arthur / du Parc;2021-06-01 20:22:44;1
Calixa-Lavallée / Sherbrooke;2021-09-08 14:21:37;Place d'Youville / McGill;2021-09-08 14:37:44;1
Valois / Ontario;2021-09-15 23:18:28;de Champlain / Ontario;2021-09-15 23:29:04;1
Wolfe / de la Gauchetière;2022-07-18 06:04:48;Métro Crémazie (Crémazie / Lajeunesse);2022-07-18 06:35:17;1
Aylmer / Sherbrooke;2022-07-21 20:45:28;Aylmer / Sherbrooke;2022-07-21 20:52:07;1
St-Germain / Hochelaga;2022-07-15 15:14:53;Valois / Ste-Catherine;2022-07-15 15:25:36;1
de Normanville / Villeray;2022-10-13 09:32:54;de Gaspé / Jarry;2022-10-13 09:38:03;0
St-Denis / Ste-Catherine;2022-08-09 12:33:53;Parc Jean-Drapeau (Chemin Macdonald);2022-08-09 13:50:52;0
U. Concordia - Campus Loyola (Sherbrooke / West Broadway);2021-07-04 15:18:24;Victoria Hall;2021-07-04 16:06:42;1
Papineau / René-Lévesque;2021-06-15 21:04:07;Montcalm / de Maisonneuve;2021-06-15 21:08:41;1
Parc Plage;2022-08-01 08:39:24;Bassin olympique (Chemin du Chenal le Moyne);2022-08-01 09:52:18;1
Pontiac / Gilford;2022-05-09 12:23:57;Marquette / Gilford;2022-05-09 12:28:54;1
St-Antoine / de la Montagne;2022-05-17 19:22:29;University / Prince-Arthur;2022-05-17 19:31:59;1
Roy / St-André;2021-09-15 19:16:02;Métro St-Laurent (de Maisonneuve / St-Laurent);2021-09-15 19:28:21;1
Plessis / René-Lévesque;2021-08-26 18:01:40;Métro Longueuil - Université de Sherbrooke;2021-08-26 18:17:14;1
Hamel / Sauvé;2022-07-11 10:30:42;Francis / Fleury;2022-07-11 10:38:18;1
Durocher / St-Viateur;2021-09-19 13:18:06;Jeanne-Mance / Laurier;2021-09-19 13:29:13;1
St-Dominique / St-Zotique;2021-06-19 10:08:50;Calixa-Lavallée / Rachel;2021-06-19 10:24:17;0
Drummond / Sherbrooke;2021-10-06 00:04:34;Fullum / Marie-Anne;2021-10-06 00:22:10;1
Marmier / St-Denis;2021-09-01 14:00:10;University / Milton;2021-09-01 14:21:18;1
de Lanaudière / du Mont-Royal;2022-08-15 17:53:58;Rachel / du Parc-Lafontaine;2022-08-15 17:57:28;1
Guy / Notre-Dame;2022-10-14 21:26:15;Poupart / Ste-Catherine;2022-10-14 21:43:49;0
de l'Hôtel-de-Ville / Sherbrooke;2022-07-19 11:39:07;Sanguinet / de Maisonneuve;2022-07-19 11:43:27;1
Drummond / Ste-Catherine;2022-09-17 19:05:50;William / Robert-Bourassa;2022-09-17 19:13:22;0
Bernard / Jeanne-Mance;2021-06-30 18:45:12;Marmier / St-Denis;2021-06-30 18:51:28;1
Duluth / St-Laurent;2022-10-06 12:45:29;Milton / Clark;2022-10-06 12:49:26;0
Bloomfield / Bernard;2021-08-15 10:35:14;Métro Rosemont (de St-Vallier / Rosemont);2021-08-15 10:42:35;1
Fullum / Terrasse Mercure;2022-08-27 15:45:51;Marquette / Rachel;2022-08-27 15:50:21;1
10e avenue / Masson;2021-07-02 18:14:43;1ère avenue / Masson;2021-07-02 18:17:55;1
Duchesneau / de Marseille;2021-09-07 22:04:31;Duchesneau / de Marseille;2021-09-07 22:24:07;1
Boyer / Jean-Talon;2021-10-02 12:50:07;du Rosaire / St-Hubert;2021-10-02 12:53:12;1
Harvard / de Monkland;2022-08-06 15:26:15;Square Victoria (Viger / du Square-Victoria);2022-08-06 15:57:37;1
Jeanne-d'Arc / Ontario;2021-05-19 18:31:36;Desjardins / Ontario;2021-05-19 18:54:15;1
Larivière / de Lorimier;2021-08-04 19:46:46;Wurtele / de Rouen;2021-08-04 19:58:04;1
Cartier / St-Joseph;2021-09-08 18:40:04;Marie-Anne / St-Hubert;2021-09-08 18:54:18;0
Logan / de Champlain;2022-09-22 18:42:08;Gauthier / Papineau;2022-09-22 18:50:22;0
des Érables / du Mont-Royal;2021-08-12 10:13:41;Molson / William-Tremblay;2021-08-12 10:21:19;1
Rachel / de Brébeuf;2022-08-27 13:34:06;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);2022-08-27 13:42:26;1
Parc Baldwin (Fullum / Sherbrooke);2022-07-21 17:09:41;Messier / du Mont-Royal;2022-07-21 17:13:30;1
de l'Esplanade / Fairmount;2021-07-22 17:43:12;de Mentana / Laurier;2021-07-22 18:00:28;0
St-Urbain / de la Gauchetière;2021-05-03 16:40:06;de la Commune / St-Sulpice;2021-05-03 16:48:27;0
Métro Frontenac (Ontario / du Havre);2022-09-15 16:55:21;Aylwin / Ontario;2022-09-15 17:03:54;0
St-André / Robin;2022-07-25 15:57:05;St-Catherine / St-Laurent;2022-07-25 16:03:36;1
Gauthier / Papineau;2021-09-12 16:34:20;Laurier / de Brébeuf;2021-09-12 16:50:36;1
des Bassins / du Séminaire;2022-08-01 17:33:50;des Bassins / du Séminaire;2022-08-01 18:19:15;0
Marquette / Laurier;2022-09-09 01:24:12;Cartier / Rosemont;2022-09-09 01:39:52;0
Métro Joliette  (Joliette / Hochelaga);2022-07-29 17:52:10;10e avenue / Masson;2022-07-29 18:10:42;1
Métro Angrignon (Lamont /  des Trinitaires);2022-08-02 17:49:30;Métro Papineau (Cartier / Ste-Catherine);2022-08-02 18:28:25;1
de Gaspé / Marmier;2021-05-11 05:24:05;de Gaspé / Marmier;2021-05-11 05:24:32;1
Drolet / Laurier;2021-07-29 08:43:52;Chabot / du Mont-Royal;2021-07-29 08:52:33;1
